ASTAR: Stopping Powers and Range Tables for Alpha Particles

HYDROGEN

Kinetic   Total
Energy    Stp. Pow.
MeV       MeV cm2/g

1.000E-03 1.264E+03
1.250E-03 1.228E+03
1.500E-03 1.202E+03
1.750E-03 1.180E+03
2.000E-03 1.163E+03
2.500E-03 1.140E+03
3.000E-03 1.127E+03
3.500E-03 1.123E+03
4.000E-03 1.123E+03
4.500E-03 1.128E+03
5.000E-03 1.136E+03
6.000E-03 1.158E+03
7.000E-03 1.187E+03
8.000E-03 1.220E+03
9.000E-03 1.255E+03
1.000E-02 1.292E+03
1.250E-02 1.389E+03
1.500E-02 1.488E+03
1.750E-02 1.588E+03
2.000E-02 1.687E+03
2.250E-02 1.784E+03
2.500E-02 1.880E+03
2.750E-02 1.974E+03
3.000E-02 2.066E+03
3.500E-02 2.246E+03
4.000E-02 2.418E+03
4.500E-02 2.585E+03
5.000E-02 2.746E+03
5.500E-02 2.902E+03
6.000E-02 3.053E+03
6.500E-02 3.200E+03
7.000E-02 3.342E+03
7.500E-02 3.481E+03
8.000E-02 3.616E+03
8.500E-02 3.748E+03
9.000E-02 3.876E+03
9.500E-02 4.001E+03
1.000E-01 4.123E+03
1.250E-01 4.691E+03
1.500E-01 5.198E+03
1.750E-01 5.652E+03
2.000E-01 6.056E+03
2.250E-01 6.416E+03
2.500E-01 6.735E+03
2.750E-01 7.016E+03
3.000E-01 7.261E+03
3.500E-01 7.655E+03
4.000E-01 7.935E+03
4.500E-01 8.118E+03
5.000E-01 8.220E+03
5.500E-01 8.255E+03
6.000E-01 8.237E+03
6.500E-01 8.175E+03
7.000E-01 8.079E+03
7.500E-01 7.959E+03
8.000E-01 7.819E+03
8.500E-01 7.666E+03
9.000E-01 7.504E+03
9.500E-01 7.337E+03
1.000E+00 7.167E+03
1.250E+00 6.352E+03
1.500E+00 5.654E+03
1.750E+00 5.074E+03
2.000E+00 4.593E+03
2.250E+00 4.193E+03
2.500E+00 3.865E+03
2.750E+00 3.589E+03
3.000E+00 3.354E+03
3.500E+00 2.974E+03
4.000E+00 2.678E+03
4.500E+00 2.440E+03
5.000E+00 2.244E+03
5.500E+00 2.080E+03
6.000E+00 1.941E+03
6.500E+00 1.820E+03
7.000E+00 1.715E+03
7.500E+00 1.622E+03
8.000E+00 1.539E+03
8.500E+00 1.466E+03
9.000E+00 1.399E+03
9.500E+00 1.339E+03
1.000E+01 1.284E+03
1.250E+01 1.069E+03
1.500E+01 9.200E+02
1.750E+01 8.096E+02
2.000E+01 7.245E+02
2.500E+01 6.013E+02
2.750E+01 5.551E+02
3.000E+01 5.160E+02
3.500E+01 4.533E+02
4.000E+01 4.051E+02
4.500E+01 3.668E+02
5.000E+01 3.356E+02
5.500E+01 3.096E+02
6.000E+01 2.877E+02
6.500E+01 2.689E+02
7.000E+01 2.526E+02
7.500E+01 2.384E+02
8.000E+01 2.258E+02
8.500E+01 2.145E+02
9.000E+01 2.045E+02
9.500E+01 1.954E+02
1.000E+02 1.871E+02
1.250E+02 1.553E+02
1.500E+02 1.335E+02
1.750E+02 1.175E+02
2.000E+02 1.053E+02
2.250E+02 9.574E+01
2.500E+02 8.795E+01
2.750E+02 8.151E+01
3.000E+02 7.609E+01
3.500E+02 6.746E+01
4.000E+02 6.089E+01
4.500E+02 5.572E+01
5.000E+02 5.154E+01
5.500E+02 4.809E+01
6.000E+02 4.520E+01
6.500E+02 4.274E+01
7.000E+02 4.061E+01
7.500E+02 3.877E+01
8.000E+02 3.714E+01
8.500E+02 3.571E+01
9.000E+02 3.443E+01
9.500E+02 3.328E+01
1.000E+03 3.225E+01
