ASTAR: Stopping Powers and Range Tables for Alpha Particles

HYDROGEN

Kinetic   Total
Energy    Stp. Pow.
MeV       MeV/cm

1.000E-03 2943.96
1.250E-03 2860.12
1.500E-03 2799.56
1.750E-03 2748.32
2.000E-03 2708.73
2.500E-03 2655.16
3.000E-03 2624.88
3.500E-03 2615.56
4.000E-03 2615.56
4.500E-03 2627.21
5.000E-03 2645.84
6.000E-03 2697.08
7.000E-03 2764.62
8.000E-03 2841.48
9.000E-03 2923
1.000E-02 3009.18
1.250E-02 3235.1
1.500E-02 3465.68
1.750E-02 3698.59
2.000E-02 3929.17
2.250E-02 4155.09
2.500E-02 4378.68
2.750E-02 4597.61
3.000E-02 4811.89
3.500E-02 5231.12
4.000E-02 5631.73
4.500E-02 6020.68
5.000E-02 6395.67
5.500E-02 6759
6.000E-02 7110.7
6.500E-02 7453.07
7.000E-02 7783.8
7.500E-02 8107.54
8.000E-02 8421.97
8.500E-02 8729.41
9.000E-02 9027.53
9.500E-02 9318.67
1.000E-01 9602.82
1.250E-01 10925.7
1.500E-01 12106.6
1.750E-01 13164
2.000E-01 14104.9
2.250E-01 14943.4
2.500E-01 15686.4
2.750E-01 16340.9
3.000E-01 16911.5
3.500E-01 17829.1
4.000E-01 18481.3
4.500E-01 18907.5
5.000E-01 19145.1
5.500E-01 19226.6
6.000E-01 19184.7
6.500E-01 19040.3
7.000E-01 18816.7
7.500E-01 18537.2
8.000E-01 18211.1
8.500E-01 17854.8
9.000E-01 17477.5
9.500E-01 17088.5
1.000E+00 16692.6
1.250E+00 14794.3
1.500E+00 13168.6
1.750E+00 11817.8
2.000E+00 10697.5
2.250E+00 9765.85
2.500E+00 9001.91
2.750E+00 8359.09
3.000E+00 7811.75
3.500E+00 6926.7
4.000E+00 6237.29
4.500E+00 5682.97
5.000E+00 5226.47
5.500E+00 4844.5
6.000E+00 4520.75
6.500E+00 4238.93
7.000E+00 3994.38
7.500E+00 3777.78
8.000E+00 3584.46
8.500E+00 3414.44
9.000E+00 3258.39
9.500E+00 3118.64
1.000E+01 2990.55
1.250E+01 2489.79
1.500E+01 2142.76
1.750E+01 1885.63
2.000E+01 1687.42
2.500E+01 1400.48
2.750E+01 1292.88
3.000E+01 1201.81
3.500E+01 1055.77
4.000E+01 943.512
4.500E+01 854.308
5.000E+01 781.641
5.500E+01 721.085
6.000E+01 670.078
6.500E+01 626.291
7.000E+01 588.327
7.500E+01 555.254
8.000E+01 525.907
8.500E+01 499.589
9.000E+01 476.298
9.500E+01 455.103
1.000E+02 435.772
1.250E+02 361.707
1.500E+02 310.933
1.750E+02 273.667
2.000E+02 245.253
2.250E+02 222.987
2.500E+02 204.843
2.750E+02 189.844
3.000E+02 177.22
3.500E+02 157.12
4.000E+02 141.818
4.500E+02 129.777
5.000E+02 120.041
5.500E+02 112.006
6.000E+02 105.275
6.500E+02 99.5451
7.000E+02 94.5841
7.500E+02 90.2986
8.000E+02 86.5022
8.500E+02 83.1716
9.000E+02 80.1904
9.500E+02 77.5119
1.000E+03 75.113
