PSTAR: Stopping Powers and Range Tables for Protons

SILICON

Kinetic   Total
Energy    Stp. Pow.
MeV       MeV/cm

1.000E-03 272.27
1.250E-03 299.52
1.500E-03 324.442
1.750E-03 347.267
2.000E-03 368.694
2.500E-03 407.59
3.000E-03 443.225
3.500E-03 475.832
4.000E-03 506.343
4.500E-03 534.991
5.000E-03 562.241
6.000E-03 613.248
7.000E-03 660.063
8.000E-03 703.849
9.000E-03 745.074
1.000E-02 783.97
1.250E-02 858.501
1.500E-02 922.551
1.750E-02 977.983
2.000E-02 1026.66
2.250E-02 1069.28
2.500E-02 1106.55
2.750E-02 1138.92
3.000E-02 1167.1
3.500E-02 1212.06
4.000E-02 1244.2
4.500E-02 1265.39
5.000E-02 1277.5
5.500E-02 1282.63
6.000E-02 1281.93
6.500E-02 1276.34
7.000E-02 1267.49
7.500E-02 1255.84
8.000E-02 1242.1
8.500E-02 1226.73
9.000E-02 1210.66
9.500E-02 1193.89
1.000E-01 1176.89
1.250E-01 1093.51
1.500E-01 1019.91
1.750E-01 957.953
2.000E-01 905.781
2.250E-01 861.529
2.500E-01 823.332
2.750E-01 789.793
3.000E-01 759.98
3.500E-01 709.206
4.000E-01 666.584
4.500E-01 630.25
5.000E-01 598.342
5.500E-01 571.557
6.000E-01 548.034
6.500E-01 526.606
7.000E-01 506.343
7.500E-01 487.012
8.000E-01 468.612
8.500E-01 451.377
9.000E-01 436.005
9.500E-01 421.797
1.000E+00 408.522
1.250E+00 354.953
1.500E+00 315.591
1.750E+00 284.847
2.000E+00 260.392
2.250E+00 240.129
2.500E+00 223.266
2.750E+00 208.872
3.000E+00 196.412
3.500E+00 175.939
4.000E+00 159.775
4.500E+00 146.639
5.000E+00 135.739
5.500E+00 126.493
6.000E+00 118.574
6.500E+00 111.68
7.000E+00 105.647
7.500E+00 100.29
8.000E+00 95.5158
8.500E+00 91.207
9.000E+00 87.3407
9.500E+00 83.8005
1.000E+01 80.5631
1.250E+01 67.8462
1.500E+01 58.9026
1.750E+01 52.2414
2.000E+01 47.0475
2.500E+01 39.478
2.750E+01 36.6365
3.000E+01 34.2143
3.500E+01 30.3247
4.000E+01 27.3202
4.500E+01 24.9212
5.000E+01 22.9555
5.500E+01 21.3274
6.000E+01 19.9463
6.500E+01 18.7631
7.000E+01 17.7337
7.500E+01 16.8323
8.000E+01 16.0358
8.500E+01 15.3277
9.000E+01 14.6919
9.500E+01 14.1166
1.000E+02 13.5972
1.250E+02 11.5849
1.500E+02 10.2084
1.750E+02 9.2092
2.000E+02 8.44992
2.250E+02 7.85135
2.500E+02 7.37155
2.750E+02 6.97561
3.000E+02 6.64488
3.500E+02 6.12549
4.000E+02 5.73421
4.500E+02 5.43376
5.000E+02 5.19386
5.500E+02 5.00055
6.000E+02 4.84217
6.500E+02 4.70941
7.000E+02 4.59994
7.500E+02 4.50445
8.000E+02 4.42293
8.500E+02 4.35539
9.000E+02 4.29483
9.500E+02 4.24126
1.000E+03 4.19468
1.250E+03 4.0363
1.500E+03 3.95013
1.750E+03 3.90355
2.000E+03 3.88026
2.500E+03 3.86861
3.000E+03 3.88491
3.500E+03 3.91053
4.000E+03 3.94081
4.500E+03 3.97342
5.000E+03 4.00603
6.000E+03 4.06658
7.000E+03 4.12248
8.000E+03 4.17372
9.000E+03 4.2203
1.000E+04 4.26223
