ASTAR: Stopping Powers and Range Tables for Alpha Particles

SILICON

Kinetic   Total
Energy    Stp. Pow.
MeV       MeV cm2/g

1.000E-03 282.518
1.500E-03 312.563
2.000E-03 337.019
2.500E-03 358.446
3.000E-03 378.243
4.000E-03 415.043
5.000E-03 448.815
6.000E-03 481.189
7.000E-03 511.933
8.000E-03 541.745
9.000E-03 570.626
1.000E-02 598.575
1.250E-02 666.118
1.500E-02 730.168
1.750E-02 791.19
2.000E-02 850.116
2.250E-02 906.713
2.500E-02 961.679
2.750E-02 1014.78
3.000E-02 1066.49
3.500E-02 1165.47
4.000E-02 1259.57
4.500E-02 1349.24
5.000E-02 1435.18
5.500E-02 1517.17
6.000E-02 1595.89
6.500E-02 1671.35
7.000E-02 1743.55
7.500E-02 1813.19
8.000E-02 1879.8
8.500E-02 1943.85
9.000E-02 2005.34
9.500E-02 2064.5
1.000E-01 2121.1
1.250E-01 2371.01
1.500E-01 2573.64
1.750E-01 2736.67
2.000E-01 2869.43
2.250E-01 2974.24
2.500E-01 3055.76
2.750E-01 3123.3
3.000E-01 3176.87
3.500E-01 3249.07
4.000E-01 3288.67
4.500E-01 3307.3
5.000E-01 3307.3
5.500E-01 3297.98
6.000E-01 3279.35
6.500E-01 3256.06
7.000E-01 3228.11
7.500E-01 3195.5
8.000E-01 3162.9
8.500E-01 3127.96
9.000E-01 3093.02
9.500E-01 3055.76
1.000E+00 3018.49
1.250E+00 2839.15
1.500E+00 2673.79
1.750E+00 2520.07
2.000E+00 2384.98
2.250E+00 2262.71
2.500E+00 2153.94
2.750E+00 2054.72
3.000E+00 1963.88
3.500E+00 1802.25
4.000E+00 1662.27
4.500E+00 1541.39
5.000E+00 1439.14
5.500E+00 1351.34
6.000E+00 1274.94
6.500E+00 1207.86
7.000E+00 1148.47
7.500E+00 1095.37
8.000E+00 1047.62
8.500E+00 1004.3
9.000E+00 964.94
9.500E+00 929.072
1.000E+01 895.999
1.250E+01 763.94
1.500E+01 669.379
1.750E+01 597.876
2.000E+01 541.745
2.500E+01 458.597
2.750E+01 426.921
3.000E+01 399.671
3.500E+01 355.418
4.000E+01 320.948
4.500E+01 293.232
5.000E+01 270.174
5.500E+01 250.842
6.000E+01 234.539
6.500E+01 220.285
7.000E+01 207.894
7.500E+01 196.971
8.000E+01 187.258
8.500E+01 178.548
9.000E+01 170.722
9.500E+01 163.618
1.000E+02 157.143
1.250E+02 131.873
1.500E+02 114.311
1.750E+02 101.338
2.000E+02 91.3467
2.250E+02 83.4045
2.500E+02 76.9297
2.750E+02 71.5495
3.000E+02 66.9845
3.500E+02 59.6944
4.000E+02 54.1279
4.500E+02 49.7027
5.000E+02 46.1159
5.500E+02 43.1579
6.000E+02 40.6425
6.500E+02 38.5231
7.000E+02 36.6831
7.500E+02 35.076
8.000E+02 33.6553
8.500E+02 32.3976
9.000E+02 31.2796
9.500E+02 30.2781
1.000E+03 29.3698
