ESTAR: Stopping Powers and Range Tables for Electrons

SILICON

Kinetic   Total
Energy    Stp. Pow.
MeV       MeV/cm

1.000E-02 39.3615
1.500E-02 29.1601
2.000E-02 23.547
2.500E-02 19.9463
3.000E-02 17.4379
3.500E-02 15.5816
4.000E-02 14.1492
4.500E-02 13.0056
5.000E-02 12.0716
6.000E-02 10.6393
7.000E-02 9.58651
8.000E-02 8.77832
9.000E-02 8.14248
1.000E-01 7.62542
1.500E-01 6.03699
2.000E-01 5.2288
2.500E-01 4.74668
3.000E-01 4.43225
3.500E-01 4.21331
4.000E-01 4.05494
4.500E-01 3.93615
5.000E-01 3.84765
6.000E-01 3.72654
7.000E-01 3.65201
8.000E-01 3.60775
9.000E-01 3.5798
1.000E+00 3.56583
1.500E+00 3.58213
2.000E+00 3.64968
2.500E+00 3.72654
3.000E+00 3.80572
3.500E+00 3.88258
4.000E+00 3.95712
4.500E+00 4.02699
5.000E+00 4.09453
6.000E+00 4.22263
7.000E+00 4.34374
8.000E+00 4.46253
9.000E+00 4.57665
1.000E+01 4.68845
1.500E+01 5.2288
2.000E+01 5.7575
2.500E+01 6.27688
3.000E+01 6.79394
3.500E+01 7.311
4.000E+01 7.82573
4.500E+01 8.34045
5.000E+01 8.85518
6.000E+01 9.88464
7.000E+01 10.9141
8.000E+01 11.9459
9.000E+01 12.98
1.000E+02 14.0141
1.500E+02 19.2056
2.000E+02 24.4321
2.500E+02 29.6493
3.000E+02 34.8897
3.500E+02 40.1534
4.000E+02 45.4172
4.500E+02 50.6809
5.000E+02 55.9446
6.000E+02 66.4721
7.000E+02 77.0461
8.000E+02 87.5969
9.000E+02 98.1709
1.000E+03 108.745
