# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 158.242 0.431407
0.003 187.545 0.596088
0.004 199.488 0.777299
0.005 222.623 0.972373
0.006 247.476 1.18385
0.007 271.882 1.39989
0.008 298.612 1.68034
0.009 333.339 2.0293
0.01 362.613 2.40674
0.02 718.213 5.17564
0.03 936.297 5.28339
0.04 1132.6 5.55544
0.05 1311.7 4.85128
0.06 1470.33 5.05688
0.07 1615.28 6.46058
0.08 1751.99 5.84529
0.09 1885.18 4.20308
0.1 1996.8 4.92857
0.2 2799.03 3.04779
0.3 3146.56 3.64566
0.4 3277.88 3.19442
0.5 3309.7 3.29145
0.6 3291.13 3.33524
0.7 3245.77 3.35799
0.8 3177.27 3.35591
0.9 3108.21 3.32547
1 3028.91 3.32169
2 2388.74 3.19322
3 1964.97 3.09349
4 1660.58 3.05816
5 1443.93 3.03765
6 1272.59 3.00743
7 1146.02 2.99161
8 1051.18 2.9756
9 964.621 2.96959
10 896.413 2.94885
20 547.829 3.01898
30 399.484 2.95547
40 318.928 2.88242
50 270.416 2.90384
60 235.771 2.98203
70 206.677 2.89866
80 189.704 2.60234
90 167.094 2.41129
100 154.189 2.37366
200 86.4271 1.96143
300 68.3898 2.2694
400 58.6047 3.88906
500 46.5083 2.50036
600 39.3753 3.09955
700 35.8923 2.08025
800 30.9232 1.69865
900 29.2808 3.49858
1000 27.3243 2.46574
2000 17.4995 0.647511
3000 17.2839 1.27966
4000 14.7359 1.24517
5000 22.3215 9.34898
6000 12.4756 0.470057
7000 12.6217 0.71644
8000 14.0622 1.34923
9000 12.9992 1.03599
10000 12.0944 0.536691
