# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 44.0921 0.510877
0.003 62.63 0.698287
0.004 83.0053 0.906119
0.005 102.439 1.10996
0.006 125.003 1.37151
0.007 145.507 1.67708
0.008 169.891 2.02788
0.009 197.954 2.43074
0.01 236.485 2.84058
0.02 612.575 6.55011
0.03 870.992 6.61818
0.04 1076.18 5.83752
0.05 1264.02 5.7414
0.06 1420.13 6.75219
0.07 1576.47 6.92364
0.08 1710.51 5.83752
0.09 1856.17 5.16968
0.1 1966.41 4.25798
0.2 2782.06 3.18317
0.3 3130.54 3.57493
0.4 3272.6 3.15766
0.5 3301.88 3.261
0.6 3282.95 3.34074
0.7 3233.82 3.35919
0.8 3168.84 3.39502
0.9 3097.25 3.32928
1 3025.21 3.36664
2 2389.51 3.15564
3 1962.97 3.07071
4 1660.6 3.02207
5 1437.7 2.97953
6 1271.86 3.00589
7 1153.3 2.94327
8 1045.93 2.95597
9 964.886 2.98545
10 902.849 2.90893
20 543.599 2.92153
30 401.598 3.00031
40 317.559 2.90519
50 261.622 2.91835
60 225.077 2.81851
70 205.571 2.97085
80 189.568 3.09982
90 169.777 2.44751
100 156.626 2.50305
200 85.4576 1.66885
300 73.0076 3.25083
400 58.8128 3.55677
500 44.2363 2.3042
600 39.2199 3.07098
700 35.2164 1.72942
800 30.4923 0.958755
900 30.7236 3.04033
1000 26.4752 1.13139
2000 24.3759 4.6679
3000 15.9492 1.33266
4000 14.7209 0.875303
5000 12.7282 0.419199
6000 13.0485 0.592903
7000 12.5961 0.624026
8000 24.0603 8.21334
9000 14.8646 1.68233
10000 14.4806 2.06935
