# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 44.0402 0.51351
0.003 61.8755 0.701097
0.004 80.7685 0.889647
0.005 96.2132 1.03712
0.006 111.433 1.16638
0.007 121.477 1.2724
0.008 133.781 1.35357
0.009 144.037 1.42377
0.01 157.571 1.5401
0.02 250.384 1.98746
0.03 244.276 2.4985
0.04 336.913 2.2692
0.05 387.389 1.90423
0.06 440.567 1.58638
0.07 654.575 1.18968e-06
0.08 710.723 1.67327e-06
0.09 764.077 1.47952e-06
0.1 815.015 1.80492e-06
0.2 1230.38 2.38204e-06
0.3 1534.19 2.0931e-06
0.4 1766.26 3.92754e-06
0.5 1947.02 2.42966e-06
0.6 2089.19 1.72477e-06
0.7 2201.57 4.34277e-06
0.8 2290.38 4.64031e-06
0.9 2360.37 4.23654e-06
1 2415.18 1.14985e-06
2 2535.36 2.89345e-06
3 2393.63 3.47381e-06
4 2211.4 2.53745e-06
5 2034.94 2.90999e-06
6 1876.49 0
7 1738.55 0.00326369
8 1619.74 0.0837461
9 1516.8 0.0203563
10 1427.13 0.0997239
20 914.728 0.175087
30 688.924 0.282072
40 558.823 0.253923
50 413.044 0.264321
60 293.748 0.296015
70 243.166 0.405284
80 211.29 0.508499
90 188.315 0.548831
100 172.681 0.710205
200 104.21 1.45303
300 83.1805 2.15635
400 69.7528 2.46375
500 63.6231 2.9316
600 62.8871 3.62627
700 66.7588 4.56461
800 68.1121 5.22354
900 64.6398 5.45545
1000 74.3953 6.68835
2000 86.8069 11.4769
3000 129.195 18.2417
4000 177.134 25.2881
5000 307.087 38.0796
6000 292.472 40.673
7000 437.076 54.2209
8000 376.296 53.6366
9000 340.041 53.9956
10000 406.33 62.4458
