# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 158.242 0.431407
0.003 187.497 0.596469
0.004 198.941 0.777647
0.005 218.578 0.954761
0.006 237.967 1.11803
0.007 253.477 1.22718
0.008 267.555 1.30511
0.009 284.383 1.40148
0.01 298.699 1.4762
0.02 394.516 1.76653
0.03 388.512 2.11805
0.04 371.987 2.13762
0.05 416.398 1.96824
0.06 471.581 1.54396
0.07 654.632 9.18045e-07
0.08 710.792 1.73303e-06
0.09 613.175 2.54464
0.1 717.065 2.72015
0.2 1648.5 4.17058
0.3 2409.26 5.27646
0.4 2929.16 4.5986
0.5 3166.31 3.72681
0.6 3272.48 2.70923
0.7 3289.73 2.08918
0.8 3254.86 1.93976
0.9 3200.22 1.54912
1 3129.73 1.45298
2 2451.36 1.00978
3 2000.12 0.978211
4 1684.31 0.967062
5 1454.67 0.960589
6 1283.57 0.951032
7 1148.01 0.946721
8 1049.12 0.942188
9 966.466 0.94577
10 898.343 0.945176
20 542.525 0.934265
30 399.879 0.916438
40 322.198 0.930278
50 270.483 0.910497
60 232.05 0.906615
70 207.303 0.855449
80 187.186 0.814436
90 169.329 0.788018
100 255.523 99.9892
200 89.8529 0.713104
300 67.9061 0.860553
400 54.0376 0.882681
500 46.7627 0.952833
600 39.8542 0.852684
700 37.7144 1.04972
800 33.0988 0.965342
900 31.6506 0.840301
1000 27.5009 0.652929
2000 19.0263 0.450509
3000 17.5546 0.982372
4000 15.4485 0.517671
5000 16.2136 1.1149
6000 15.038 1.01878
7000 14.604 1.06353
8000 14.1016 0.59005
9000 13.8836 0.744784
10000 14.3777 0.683087
