# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 44.0402 0.51351
0.003 61.8755 0.701097
0.004 80.7685 0.889647
0.005 96.2132 1.03712
0.006 111.433 1.16638
0.007 121.477 1.2724
0.008 133.781 1.35357
0.009 144.037 1.42377
0.01 157.571 1.5401
0.02 250.364 1.98755
0.03 233.557 2.42739
0.04 297.772 2.42941
0.05 382.271 2.08645
0.06 448.351 1.73617
0.07 654.575 1.20842e-06
0.08 710.723 1.6628e-06
0.09 581.069 2.9379
0.1 685.673 3.00088
0.2 1632.35 4.3695
0.3 2388.94 5.45463
0.4 2910.84 4.55424
0.5 3152.99 3.62948
0.6 3258.43 2.6748
0.7 3278.05 2.08441
0.8 3247.78 1.95603
0.9 3191.8 1.55048
1 3124.81 1.47216
2 2449.51 0.997821
3 1998.02 0.971008
4 1682.39 0.955642
5 1450.54 0.942196
6 1271.58 0.951358
7 1149.44 0.93158
8 1047.42 0.937747
9 966.2 0.94993
10 899.995 0.92875
20 543.279 0.938972
30 398.984 0.936013
40 322.057 0.937916
50 266.893 0.913994
60 232.427 0.892244
70 206.767 0.856957
80 185.685 0.808296
90 168.681 0.780467
100 255.672 99.9892
200 89.3806 0.698912
300 67.9843 0.904569
400 54.9481 0.916983
500 46.2029 0.880507
600 39.6692 0.832765
700 37.1522 0.913405
800 33.2883 0.821208
900 31.7306 1.01448
1000 28.785 1.00791
2000 20.0405 1.12451
3000 19.0465 1.05111
4000 17.7987 2.0923
5000 15.3999 0.850351
6000 17.1542 1.77651
7000 15.2679 1.66087
8000 14.7761 0.974557
9000 13.9026 0.619993
10000 17.2427 2.00895
