# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 45.9441 0.433578
0.003 56.3048 0.479802
0.004 64.836 0.503769
0.005 71.5956 0.511517
0.006 79.6196 0.525806
0.007 86.9256 0.528473
0.008 93.7932 0.514529
0.009 103.423 0.532652
0.01 108.041 0.512641
0.02 146.829 0.0092412
0.03 193.884 2.78811e-07
0.04 198.425 0.429287
0.05 231.059 0.474379
0.06 258.719 0.494711
0.07 282.653 0.5123
0.08 304.088 0.527983
0.09 324.125 0.537328
0.1 337.062 0.528581
0.2 445.107 0.49314
0.3 487.348 0.416899
0.4 502.317 0.345166
0.5 501.718 0.289928
0.6 494.728 0.242051
0.7 484.736 0.214548
0.8 473.172 0.179528
0.9 461.197 0.165491
1 448.571 0.137876
2 349.065 0.0656842
3 281.083 0.0724652
4 185.302 0.10519
5 148.373 0.0915004
6 126.274 0.166938
7 110.9 0.185931
8 99.5659 0.237963
9 89.8996 0.209818
10 82.5279 0.228905
20 47.3532 0.341045
30 37.3116 0.984684
40 29.5699 0.973789
50 25.496 1.11368
60 20.5007 0.599392
70 19.1079 0.988319
80 17.6401 1.12986
90 16.4207 1.27136
100 25.5172 3.46078
200 12.3586 2.8274
300 27.6324 7.93673
400 17.7296 6.92781
500 25.2001 9.99904
600 28.7517 11.9993
700 25.6159 12.1239
800 28.375 13.8564
900 31.3466 15.5862
1000 24.1562 14.1414
2000 63.8339 34.6381
3000 63.9358 42.425
4000 83.8945 56.5646
5000 154.004 86.6008
6000 184.103 103.923
7000 354.57 156.549
8000 4.23227 0.28841
9000 93.8885 90.0034
10000 303.945 173.193
