# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 45.9441 0.433578
0.003 56.3048 0.479802
0.004 64.836 0.503769
0.005 71.5956 0.511517
0.006 79.6196 0.525806
0.007 86.9256 0.528473
0.008 93.7932 0.514529
0.009 103.423 0.532652
0.01 108.041 0.512641
0.02 146.829 0.0092412
0.03 193.884 2.67587e-07
0.04 198.425 0.429287
0.05 231.059 0.474379
0.06 258.719 0.494711
0.07 282.653 0.5123
0.08 304.088 0.527983
0.09 324.125 0.537328
0.1 337.062 0.528581
0.2 445.107 0.49314
0.3 487.348 0.416899
0.4 502.317 0.345166
0.5 501.718 0.289928
0.6 494.728 0.242051
0.7 484.736 0.214548
0.8 473.172 0.179528
0.9 461.197 0.165491
1 448.571 0.137876
2 349.065 0.0656842
3 286.721 0.0662133
4 244.737 0.0641681
5 213.853 0.0450813
6 191.178 0.0601692
7 172.709 0.055239
8 158.138 0.0712962
9 145.935 0.0606171
10 135.66 0.0602308
20 81.9357 0.0543823
30 60.6153 0.0594381
40 49.0019 0.057162
50 32.1622 0.0597837
60 25.8174 0.0844611
70 22.6199 0.108948
80 20.7111 0.134347
90 19.4879 0.15992
100 18.1724 0.174905
200 15.794 0.365587
300 16.6711 0.535146
400 19.4812 0.726697
500 23.0697 0.929733
600 27.898 1.15789
700 28.3189 1.27213
800 33.0866 1.49472
900 34.798 1.63768
1000 35.624 1.75429
2000 68.6656 3.56567
3000 94.6287 5.17429
4000 119.513 6.74522
5000 140.43 8.20155
6000 184.409 10.324
7000 197.276 11.5513
8000 199.284 12.4109
9000 217.327 13.7612
10000 266.41 16.0749
