# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 226.395 1.3073
0.003 236.628 1.19838
0.004 246.43 1.13095
0.005 259.036 1.11342
0.006 258.728 0.978945
0.007 264.089 0.922924
0.008 270.637 0.871955
0.009 280.187 0.853413
0.01 288.238 0.816916
0.02 371.76 0.581242
0.03 472.375 6.23128e-07
0.04 541.692 1.19811e-06
0.05 600.548 1.57284e-06
0.06 651.608 8.32106e-07
0.07 696.437 7.33754e-07
0.08 736.129 1.68954e-06
0.09 771.433 1.73114e-06
0.1 802.933 1.50038e-06
0.2 975.827 1.67204e-06
0.3 1011.67 2.08602e-06
0.4 997.504 2.49329e-06
0.5 966.802 1.54471e-06
0.6 931.861 1.14539e-06
0.7 897.034 1.66507e-06
0.8 863.83 1.68872e-06
0.9 832.792 1.94067e-06
1 804.038 2.35966e-07
2 605.895 6.18899e-07
3 490.202 0.00555703
4 415.549 0.0578659
5 362.553 0.0402706
6 323.189 0.0696723
7 292.466 0.0696595
8 267.7 0.0881545
9 247.326 0.0783807
10 230.062 0.0755909
20 101.737 0.100037
30 66.1482 0.218602
40 51.405 0.288878
50 43.8871 0.399106
60 38.3006 0.434267
70 34.487 0.496362
80 31.9307 0.573263
90 29.2317 0.612902
100 28.7194 0.744737
200 20.791 1.19194
300 22.2146 1.89129
400 18.0531 1.95514
500 20.8575 2.59479
600 25.8528 3.39073
700 27.1455 3.82978
800 32.98 4.66113
900 33.3801 5.0076
1000 44.2469 6.24124
2000 68.2812 11.3098
3000 109.166 17.7475
4000 140.161 23.3219
5000 269.644 36.401
6000 220.295 35.9914
7000 361.851 49.9926
8000 300.335 48.6402
9000 292.421 50.9058
10000 344.46 58.3069
