# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 226.395 1.3073
0.003 236.628 1.19838
0.004 246.43 1.13095
0.005 259.036 1.11342
0.006 258.728 0.978945
0.007 264.089 0.922924
0.008 270.637 0.871955
0.009 280.187 0.853413
0.01 288.238 0.816916
0.02 371.76 0.581242
0.03 472.375 5.56953e-07
0.04 541.692 1.22127e-06
0.05 600.548 1.50769e-06
0.06 651.608 8.3026e-07
0.07 696.437 7.18332e-07
0.08 757.831 0.30778
0.09 855.041 0.346706
0.1 939.106 0.435504
0.2 1245.27 0.667801
0.3 1099.61 0.570282
0.4 955.102 0.421035
0.5 854.615 0.426298
0.6 782.662 0.430308
0.7 725.48 0.42877
0.8 679.231 0.43169
0.9 639.376 0.423472
1 607.363 0.428693
2 412.773 0.425051
3 317.343 0.442781
4 260.534 0.469101
5 223.313 0.419625
6 197.097 0.413483
7 176.487 0.410291
8 160.148 0.405667
9 146.432 0.401463
10 135.665 0.402916
20 79.9833 0.38157
30 58.5231 0.378157
40 46.2692 0.38657
50 40.0519 0.448631
60 33.9327 0.379651
70 30.5235 0.460725
80 28.1999 0.60222
90 24.6577 0.39298
100 122.794 99.9991
200 12.7014 0.30976
300 10.0907 0.381414
400 8.59852 0.469013
500 7.39798 0.387756
600 5.94267 0.21319
700 5.91688 0.268934
800 5.42583 0.399863
900 6.34078 1.16585
1000 5.05822 0.502829
2000 4.00456 0.477399
3000 4.36937 0.714909
4000 3.23745 0.142214
5000 3.99816 0.7453
6000 5.61915 2.36116
7000 3.21038 0.13398
8000 4.17233 0.81542
9000 2.88044 0.0921341
10000 3.55707 0.470291
