# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 231.123 1.01498
0.003 169.053 0.636007
0.004 138.702 0.501195
0.005 119.397 0.439668
0.006 105.051 0.375321
0.007 94.1548 0.341916
0.008 85.74 0.309824
0.009 78.1801 0.285014
0.01 72.7531 0.264414
0.02 43.2633 0.155937
0.03 31.6802 0.112349
0.04 25.4094 0.0924467
0.05 21.5712 0.076776
0.06 18.8882 0.0680044
0.07 16.754 0.0609008
0.08 15.2924 0.0533083
0.09 13.9804 0.0500087
0.1 12.994 0.0452079
0.2 8.26369 0.0291539
0.3 6.59678 0.0227964
0.4 5.74998 0.0195111
0.5 5.24701 0.0172464
0.6 4.92774 0.015548
0.7 4.69454 0.0149257
0.8 4.51503 0.0137661
0.9 4.40945 0.0133245
1 4.28281 0.0126248
2 3.93411 0.010299
3 3.89904 0.00957441
4 3.90635 0.00889587
5 3.93975 0.00911281
6 3.99623 0.0116127
7 4.10248 0.0150755
8 4.24431 0.0184709
9 4.33976 0.0208073
10 4.46443 0.0225019
20 5.58965 0.0380969
30 6.71536 0.0572942
40 7.65845 0.0762029
50 8.70038 0.0961572
60 9.86544 0.117469
70 10.2541 0.129658
80 11.8139 0.156651
90 12.699 0.173832
100 13.5766 0.192482
200 23.4758 0.386271
300 34.3702 0.5984
400 43.1005 0.795703
500 53.7748 0.99206
600 64.5015 1.19639
700 73.3618 1.38569
800 85.8949 1.61753
900 91.4623 1.76881
1000 102.162 1.98323
2000 208.396 4.08701
3000 316.971 6.26099
4000 414.37 8.1821
5000 529.679 10.4233
6000 613.156 12.1899
7000 728.053 14.4826
8000 820.346 16.4705
9000 915.964 18.427
10000 1040.6 20.8081
