# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 231.123 1.01498
0.003 169.053 0.636007
0.004 138.702 0.501195
0.005 119.397 0.439668
0.006 105.051 0.375321
0.007 94.1548 0.341916
0.008 85.74 0.309824
0.009 78.1801 0.285014
0.01 72.7531 0.264414
0.02 43.2633 0.155937
0.03 31.6803 0.112349
0.04 24.6729 0.0983016
0.05 19.1818 0.112773
0.06 15.2145 0.125517
0.07 12.4369 0.125518
0.08 10.7873 0.121368
0.09 9.29388 0.10987
0.1 8.49696 0.101157
0.2 5.43854 0.0936928
0.3 4.50489 0.092342
0.4 4.18096 0.123733
0.5 4.0434 0.130946
0.6 3.71951 0.119035
0.7 3.9198 0.173604
0.8 3.67971 0.146409
0.9 3.70726 0.181581
1 3.50118 0.134991
2 3.86088 0.277163
3 3.56339 0.137181
4 4.3394 0.451295
5 3.52194 0.142651
6 5.38553 0.916505
7 3.59124 0.14277
8 6.48812 1.30487
9 4.52101 0.575642
10 4.09501 0.429555
20 4.27804 0.283548
30 7.54475 2.01431
40 6.56688 1.45383
50 9.87116 3.54397
60 5.82871 1.38243
70 15.8095 6.63887
80 26.1926 10.155
90 7.96065 1.50476
100 17.0221 6.63569
200 15.6141 7.52039
300 56.6318 30.2143
400 24.057 16.4064
500 196.379 78.1775
600 23.0246 11.0979
700 51.3222 31.5637
800 45.7167 27.2505
900 126.873 76.4893
1000 17.7936 7.74225
2000 576.781 295.658
3000 364.141 239.107
4000 445.191 231.288
5000 1461.27 696.31
6000 329.147 160.659
7000 789.642 528.197
8000 385.807 264.426
9000 1534.39 897.403
10000 1623.28 940.481
