# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 472.422 3.62246
0.0003 385.59 2.98325
0.0004 343.291 2.499
0.0005 310.882 2.12543
0.0006 292.993 1.90015
0.0007 279.656 1.73538
0.0008 263.698 1.60362
0.0009 251.763 1.47179
0.001 246.011 1.42496
0.002 173.671 0.929662
0.003 128.432 0.828262
0.004 96.5436 0.908696
0.005 77.2612 0.918514
0.006 63.172 0.848048
0.007 55.9919 0.828545
0.008 48.7085 0.729717
0.009 43.8509 0.692574
0.01 40.4641 0.670691
0.02 23.907 0.657813
0.03 16.8152 0.441442
0.04 13.6465 0.613332
0.05 12.1596 0.672364
0.06 10.4917 0.545452
0.07 9.0849 0.418684
0.08 8.12904 0.41365
0.09 8.76995 0.752273
0.1 8.0492 0.975259
0.2 4.48083 0.240078
0.3 4.96741 0.718695
0.4 3.3186 0.168446
0.5 3.63079 0.381484
0.6 3.47007 0.61155
0.7 3.35597 0.344744
0.8 3.56466 0.536474
0.9 3.12561 0.254316
1 3.33915 0.378025
2 2.85004 0.348572
3 2.71158 0.149966
4 9.19661 6.48405
5 5.87483 3.26932
6 2.66397 0.121513
7 4.14815 0.688667
8 3.31168 0.406841
9 3.81224 1.02031
10 2.73578 0.13278
20 2.82977 0.137971
30 2.98197 0.188101
40 2.80003 0.174348
50 3.26669 0.632191
60 3.33459 0.342452
70 16.4392 13.7137
80 14.3994 8.24641
90 3.78083 0.558566
100 2.99714 0.228752
200 2.92692 0.180386
300 3.36447 0.705241
400 3.8195 0.588546
500 3.4994 0.447556
600 4.60994 0.82073
700 3.44619 0.390044
800 3.45199 0.272595
900 322.797 320.069
1000 2.86755 0.197329
2000 5591.55 5584.49
3000 4.67338 1.44086
4000 2.76275 0.140314
5000 3.68587 0.394035
6000 3.14191 0.296202
7000 2.78358 0.148551
8000 5378.95 5374.16
9000 3.06829 0.281967
10000 3.05532 0.228469
