# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 201.904 1.06836
0.003 138.641 0.810216
0.004 99.9972 0.879107
0.005 78.1164 0.880395
0.006 63.2716 0.792624
0.007 55.0662 0.737367
0.008 48.8698 0.660824
0.009 43.0661 0.593024
0.01 39.3958 0.545779
0.02 23.7032 0.49789
0.03 17.0213 0.449445
0.04 13.1706 0.34199
0.05 12.2817 0.507205
0.06 10.764 0.420449
0.07 8.80168 0.343388
0.08 9.40966 0.603563
0.09 8.07964 0.422761
0.1 7.87432 0.572942
0.2 4.84225 0.28567
0.3 4.85553 1.20757
0.4 5.76372 1.3073
0.5 4.57117 1.47185
0.6 3.47289 0.368002
0.7 3.32689 0.307368
0.8 3.1286 0.245772
0.9 3.1349 0.399662
1 3.42187 0.432903
2 3.33443 0.488521
3 3.51964 0.444269
4 7.72739 5.11958
5 3.14816 0.268229
6 3.30816 0.381234
7 3.33728 0.49045
8 2.52402 0.120789
9 3.31979 0.429104
10 2.92103 0.263967
20 4.00298 0.900987
30 3.29308 0.282162
40 3.02427 0.209468
50 3.52427 0.398718
60 3.16303 0.210772
70 15.8246 12.6206
80 8.68527 5.64681
90 2.85298 0.187453
100 3.92118 0.702456
200 2.91504 0.179903
300 3.28554 0.680919
400 3.79518 0.577134
500 3.44558 0.441127
600 4.56477 0.799866
700 3.43406 0.385856
800 3.43525 0.271407
900 322.545 319.818
1000 2.91319 0.205166
2000 4956.37 4949.37
3000 4.55658 1.34313
4000 2.74919 0.139867
5000 3.6677 0.389625
6000 3.13266 0.294046
7000 2.77344 0.1486
8000 5378.85 5374.12
9000 3.07938 0.281713
10000 3.06919 0.228917
