# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 472.422 3.62246
0.0003 385.59 2.98325
0.0004 343.291 2.499
0.0005 310.882 2.12543
0.0006 292.993 1.90015
0.0007 279.656 1.73538
0.0008 263.698 1.60362
0.0009 251.763 1.47179
0.001 246.011 1.42496
0.002 174.599 0.924014
0.003 137.862 0.695747
0.004 116.056 0.570781
0.005 100.804 0.481287
0.006 89.553 0.421085
0.007 80.9367 0.384338
0.008 73.7674 0.343991
0.009 67.8158 0.309269
0.01 63.2154 0.286192
0.02 38.5797 0.164085
0.03 28.6985 0.119334
0.04 23.3162 0.0910222
0.05 19.8812 0.079193
0.06 17.2846 0.0674429
0.07 15.5112 0.0588667
0.08 14.0533 0.0545176
0.09 13.0025 0.0492398
0.1 12.0843 0.045238
0.2 7.08073 0.0428167
0.3 5.01581 0.0486306
0.4 4.21037 0.0418946
0.5 3.89271 0.0362759
0.6 3.79445 0.0349743
0.7 3.6765 0.0319952
0.8 3.607 0.0340598
0.9 3.56401 0.0322275
1 3.52115 0.0322247
2 3.65087 0.0526533
3 3.82505 0.0669991
4 4.12014 0.102446
5 3.98548 0.112748
6 4.38323 0.137973
7 4.28109 0.12356
8 4.5061 0.163397
9 4.57842 0.156814
10 4.84443 0.222566
20 5.85958 0.426709
30 6.53451 0.562164
40 7.25951 0.624917
50 8.39208 0.951614
60 10.4345 1.26349
70 10.3141 1.39372
80 12.6136 1.74282
90 8.73186 1.11536
100 15.6977 2.17868
200 17.3197 2.77611
300 23.3674 4.41159
400 35.1782 7.58678
500 43.8716 10.2266
600 79.3923 15.5591
700 62.9334 13.516
800 92.0527 17.597
900 121.751 23.7112
1000 85.0973 19.2806
2000 251.152 48.831
3000 409.047 75.3049
4000 447.837 84.565
5000 504.279 98.2519
6000 783.826 150.485
7000 883.234 168.49
8000 856.023 182.178
9000 1073.79 208.931
10000 1337.91 250.082
