# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 198.527 1.07355
0.003 139.319 0.654505
0.004 115.644 0.511612
0.005 100.872 0.435162
0.006 89.1653 0.382785
0.007 81.3917 0.34077
0.008 74.4108 0.31003
0.009 68.1868 0.280927
0.01 63.8128 0.254289
0.02 39.1005 0.143184
0.03 28.9482 0.103115
0.04 23.5092 0.0834176
0.05 20.0498 0.0681802
0.06 17.6371 0.05959
0.07 15.7934 0.0529899
0.08 14.3807 0.0481312
0.09 13.2597 0.0442626
0.1 12.3153 0.0409504
0.2 7.09233 0.0419097
0.3 5.03115 0.0488494
0.4 4.25119 0.0425134
0.5 3.90357 0.0362152
0.6 3.77781 0.0342563
0.7 3.69909 0.0328406
0.8 3.5968 0.0329436
0.9 3.51917 0.0326129
1 3.55162 0.0331572
2 3.66686 0.0553053
3 3.87952 0.0760595
4 4.17507 0.10013
5 3.90636 0.0882406
6 4.05496 0.0947281
7 4.26545 0.132258
8 4.45704 0.139107
9 4.46943 0.167465
10 4.75562 0.194636
20 5.45798 0.318707
30 6.38938 0.531158
40 8.07304 0.860377
50 11.0433 1.3142
60 10.1728 1.20065
70 9.4374 1.15912
80 11.9697 1.60759
90 10.1886 1.28124
100 14.4515 2.0573
200 17.2253 2.75139
300 22.1333 4.30231
400 37.541 8.0985
500 44.2098 10.2181
600 77.5492 15.4868
700 61.7888 13.4863
800 92.1595 17.5957
900 123.998 23.9343
1000 91.0706 19.8495
2000 252.834 49.0061
3000 394.117 71.2248
4000 464.294 85.4693
5000 498.132 98.1265
6000 796.217 148.472
7000 900.476 169.446
8000 826.592 177.299
9000 1078.08 208.977
10000 1353.71 256.511
