# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 198.527 1.07355
0.003 139.319 0.654505
0.004 115.644 0.511612
0.005 100.872 0.435162
0.006 89.1653 0.382785
0.007 81.3917 0.34077
0.008 74.4108 0.31003
0.009 68.1868 0.280927
0.01 63.8128 0.254289
0.02 39.1005 0.143184
0.03 28.9482 0.103115
0.04 23.5092 0.0834176
0.05 20.0498 0.0681802
0.06 17.6371 0.05959
0.07 15.7934 0.0529899
0.08 14.3807 0.0481312
0.09 13.2597 0.0442626
0.1 12.3153 0.0409504
0.2 7.9798 0.0260476
0.3 6.47833 0.0199072
0.4 5.67779 0.0167426
0.5 5.18986 0.0150873
0.6 4.87681 0.0136692
0.7 4.60991 0.0131484
0.8 4.35815 0.0147197
0.9 4.16478 0.0172269
1 4.02582 0.0198086
2 3.66215 0.0298334
3 3.78705 0.0269798
4 3.99737 0.0310479
5 4.01764 0.0328829
6 4.24435 0.040785
7 4.30075 0.0448331
8 4.46948 0.0488891
9 4.48698 0.0521882
10 4.67796 0.0608729
20 5.50816 0.110049
30 6.27497 0.166471
40 8.04615 0.25693
50 8.746 0.314322
60 9.50133 0.370483
70 11.2962 0.460735
80 11.7729 0.504334
90 12.7524 0.570332
100 13.7338 0.604036
200 25.3727 1.37512
300 33.5705 2.00688
400 43.0151 2.59942
500 48.9501 3.11964
600 69.1451 4.2091
700 78.6514 4.74795
800 85.9541 5.32374
900 101.633 6.38243
1000 111.666 6.91384
2000 208.503 13.6645
3000 312.818 20.3178
4000 448.532 28.2993
5000 539.431 34.9406
6000 696.616 43.7029
7000 824.828 52.1883
8000 813.045 55.6502
9000 1003.64 65.0627
10000 1040.43 66.4522
