# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 NaN NaN
0.003 NaN NaN
0.004 NaN NaN
0.005 NaN NaN
0.006 412.816 583.781
0.007 445.425 629.894
0.008 475.305 475.258
0.009 502.929 410.578
0.01 528.691 334.29
0.02 686.664 125.624
0.03 794.589 96.0626
0.04 865.792 81.1011
0.05 910.621 63.7267
0.06 938.614 58.2736
0.07 958.647 52.5874
0.08 967.245 47.9935
0.09 964.742 45.4585
0.1 961.669 41.0234
0.2 857.403 25.1096
0.3 756.493 18.1509
0.4 677.826 14.3768
0.5 615.483 11.8263
0.6 563.987 10.1261
0.7 520.464 8.8092
0.8 484.366 7.77212
0.9 453.502 7.05791
1 426.742 6.40496
2 276.468 3.25933
3 209.554 2.15832
4 170.745 1.64273
5 145.198 1.28384
6 126.837 1.0672
7 112.975 0.89251
8 102.13 0.804763
9 93.2617 0.687697
10 85.9539 0.620481
20 50.3053 0.297105
30 36.8368 0.192614
40 21.3948 0.112134
50 16.4271 0.0827842
60 13.9806 0.0790447
70 12.4904 0.0831794
80 11.2712 0.0826676
90 10.4738 0.0909598
100 9.86922 0.0994133
200 8.13414 0.211945
300 8.42701 0.325366
400 9.49575 0.448472
500 11.3685 0.599406
600 13.0128 0.73402
700 17.6359 0.979414
800 17.3668 1.03886
900 18.8575 1.16213
1000 22.0097 1.34781
2000 39.9855 2.68314
3000 53.4235 3.84457
4000 66.1153 4.96857
5000 84.2649 6.31346
6000 103.946 7.70992
7000 119.971 8.97865
8000 136.211 10.2334
9000 160.173 11.8001
10000 157.97 12.3495
