# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 NaN NaN
0.003 NaN NaN
0.004 NaN NaN
0.005 NaN NaN
0.006 412.816 583.781
0.007 445.425 629.894
0.008 475.305 475.258
0.009 502.929 410.578
0.01 528.691 373.766
0.02 693.045 138.9
0.03 794.386 102.757
0.04 864.612 85.3833
0.05 910.544 66.7803
0.06 939.28 60.8128
0.07 958.897 55.7105
0.08 966.23 49.7908
0.09 964.238 47.3304
0.1 962.648 42.7089
0.2 857.268 25.8585
0.3 756.379 18.6349
0.4 677.806 14.6963
0.5 615.5 12.0655
0.6 546.474 10.0373
0.7 431.581 7.43875
0.8 371.809 6.07975
0.9 330.891 5.24787
1 300.657 4.59578
2 171.717 2.06713
3 125.287 1.32158
4 100.312 0.991893
5 83.5438 0.762713
6 72.2131 0.634241
7 64.2719 0.535791
8 59.0195 1.15716
9 52.5239 0.41661
10 48.4878 0.381335
20 28.5357 0.220995
30 20.6651 0.173002
40 16.7099 0.16784
50 19.7146 5.5352
60 19.0625 6.60604
70 18.6137 7.63854
80 10.276 0.171118
90 9.23566 0.150042
100 8.74091 0.148465
200 5.55197 0.13845
300 36.304 31.0591
400 45.5351 41.1715
500 4.36598 0.225933
600 3.95402 0.181604
700 4.00136 0.271251
800 3.69209 0.139231
900 3.81683 0.234447
1000 3.82252 0.229867
2000 3.88976 0.320472
3000 3.562 0.172299
4000 3.42556 0.109304
5000 508.581 502.928
6000 4.02247 0.348884
7000 5.40097 1.5314
8000 4.83247 1.23245
9000 4.71769 0.761243
10000 3.87483 0.230124
