# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 NaN NaN
0.003 NaN NaN
0.004 NaN NaN
0.005 NaN NaN
0.006 167.543 236.929
0.007 222.499 314.645
0.008 116.901 121.686
0.009 103.574 90.5976
0.01 135.204 96.4272
0.02 225.846 45.0562
0.03 244.228 31.8438
0.04 295.894 29.3576
0.05 330.005 24.3144
0.06 361.16 23.5104
0.07 388.358 22.6757
0.08 402.892 20.8319
0.09 417.588 20.5759
0.1 435.244 19.3543
0.2 497.647 15.0244
0.3 495.63 12.2219
0.4 476.54 10.3384
0.5 453.962 8.8993
0.6 431.932 7.93384
0.7 410.434 7.07134
0.8 391.115 6.39313
0.9 373.279 5.91611
1 356.8 5.44596
2 251.441 3.01583
3 147.711 1.54784
4 109.432 1.08075
5 88.8424 0.801356
6 76.006 0.674069
7 66.8642 0.591057
8 59.6377 0.516917
9 54.3232 0.523253
10 49.1478 0.382031
20 28.6968 0.291584
30 21.3606 0.493445
40 17.5144 0.645546
50 16.8436 1.23717
60 14.3546 1.1444
70 13.3536 1.32293
80 12.7881 1.5035
90 12.2547 1.68775
100 14.0514 2.40007
200 16.2836 4.68705
300 11.1783 4.39221
400 16.7831 7.13121
500 19.6927 8.90041
600 28.6954 12.3029
700 25.5456 12.3982
800 28.3248 14.1456
900 22.2118 12.9593
1000 54.9107 22.7277
2000 3.86796 0.117454
3000 64.3443 42.7522
4000 3.90061 0.114117
5000 54.8673 50.295
6000 64.4206 60.2189
7000 144.634 99.4301
8000 164.436 113.403
9000 94.1964 90.2067
10000 104.394 100.189
