# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 NaN NaN
0.003 NaN NaN
0.004 NaN NaN
0.005 NaN NaN
0.006 167.543 236.929
0.007 222.499 314.645
0.008 116.901 121.686
0.009 103.574 90.5976
0.01 139.915 89.2432
0.02 225.846 44.61
0.03 244.228 31.8438
0.04 295.894 29.3576
0.05 330.195 24.19
0.06 361.123 23.4283
0.07 388.632 22.5642
0.08 403.095 20.7947
0.09 417.691 20.4945
0.1 435.116 19.2913
0.2 497.664 14.9844
0.3 495.648 12.1962
0.4 476.541 10.3187
0.5 453.976 8.886
0.6 431.937 7.91405
0.7 410.43 7.061
0.8 391.101 6.37741
0.9 373.267 5.90712
1 356.796 5.43886
2 251.441 3.01175
3 197.044 2.05914
4 163.428 1.59682
5 140.289 1.25617
6 123.468 1.05571
7 110.567 0.890935
8 100.286 0.80161
9 91.7255 0.68896
10 67.2535 0.494417
20 30.8676 0.224547
30 22.3393 0.217298
40 18.683 0.294164
50 16.4028 0.352915
60 14.1943 0.3484
70 13.6151 0.436139
80 12.4352 0.448632
90 12.0102 0.521903
100 12.8781 0.666923
200 12.5693 1.18314
300 11.7795 1.45468
400 11.1024 1.64561
500 14.5379 2.29664
600 18.2837 2.94952
700 30.5136 4.35256
800 23.5572 3.99952
900 25.0071 4.39313
1000 26.2822 4.76645
2000 56.4063 10.2958
3000 70.674 14.1784
4000 80.5947 17.5169
5000 84.8613 20.119
6000 142.982 28.8728
7000 159.185 32.9807
8000 197.403 39.276
9000 266.455 48.5816
10000 164.541 40.0721
