# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 511.82 1.5287
0.003 617.695 1.60867
0.004 700.439 1.77765
0.005 767.099 1.83447
0.006 764.639 2.24744
0.007 825.031 2.17717
0.008 867.806 2.29984
0.009 902.348 2.36342
0.01 928.183 2.35083
0.02 987.6 1.80206
0.03 926.686 1.53625
0.04 871.384 1.21466
0.05 819.788 1.05252
0.06 773.619 0.982042
0.07 732.299 0.949068
0.08 696.086 0.840267
0.09 664.083 0.700832
0.1 634.431 0.68396
0.2 443.753 0.421313
0.3 347.687 0.305694
0.4 288.938 0.214175
0.5 248.738 0.190771
0.6 219.406 0.136374
0.7 196.897 0.163236
0.8 179.005 0.12476
0.9 164.412 0.107185
1 152.292 0.0752534
2 90.4892 0.0536264
3 66.0525 0.0439324
4 52.9463 0.0339645
5 44.5247 0.0208125
6 38.6678 0.020746
7 34.3246 0.0183807
8 30.9715 0.0188215
9 28.2777 0.0133887
10 26.0898 0.0122214
20 11.6921 0.00920781
30 7.71037 0.00716216
40 6.32439 0.00572455
50 5.62131 0.00565505
60 5.15543 0.00564063
70 4.83739 0.00579341
80 4.62512 0.00604587
90 4.4528 0.00613117
100 4.33731 0.00680419
200 3.91142 0.00905355
300 3.8837 0.0118597
400 3.95537 0.0156478
500 3.98637 0.021162
600 4.00134 0.018471
700 4.04238 0.0206987
800 4.14143 0.0266803
900 4.1624 0.027129
1000 4.19063 0.0315585
2000 4.45671 0.0550331
3000 4.77235 0.0767486
4000 4.78271 0.139961
5000 5.20785 0.172747
6000 4.8458 0.0978812
7000 5.08667 0.221697
8000 5.03319 0.145364
9000 5.38593 0.323867
10000 5.20295 0.218104
