# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 511.82 1.55654
0.003 617.695 1.63135
0.004 700.439 1.80394
0.005 767.099 1.87147
0.006 764.665 2.26405
0.007 825.069 2.21308
0.008 867.847 2.32738
0.009 902.318 2.37797
0.01 928.169 2.37393
0.02 987.594 1.80762
0.03 926.673 1.55336
0.04 871.374 1.2336
0.05 819.786 1.05899
0.06 773.62 0.994348
0.07 732.301 0.960486
0.08 696.087 0.857643
0.09 664.084 0.713448
0.1 634.43 0.689886
0.2 443.752 0.430642
0.3 347.687 0.305694
0.4 220.72 0.22162
0.5 170.194 0.194994
0.6 142.615 0.201222
0.7 123.8 0.181285
0.8 110.057 0.152701
0.9 99.5748 0.169527
1 91.1053 0.196301
2 51.6505 0.129188
3 37.8594 0.128517
4 30.0401 0.127253
5 24.9695 0.123919
6 21.783 0.123541
7 19.3477 0.12474
8 17.6019 0.129152
9 15.7878 0.117239
10 14.8766 0.130651
20 9.11253 0.145573
30 7.16776 0.149053
40 6.44324 0.202076
50 5.39977 0.152556
60 4.94851 0.161751
70 4.95626 0.224198
80 4.38505 0.115426
90 4.42169 0.278553
100 4.29929 0.181575
200 3.6455 0.242495
300 3.96606 0.300751
400 4.71361 0.970226
500 4.10674 0.496955
600 3.67038 0.295527
700 6.69664 2.99959
800 3.87766 0.264116
900 7.30528 2.81956
1000 5.45208 2.03767
2000 3.76752 0.214854
3000 3.66029 0.160767
4000 3.65564 0.137351
5000 3.94872 0.311979
6000 4.04245 0.25453
7000 7.58058 3.37249
8000 3.7282 0.208804
9000 3.67497 0.110911
10000 4.06168 0.333272
