# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 358.189 1.95248
0.003 309.301 1.20578
0.004 257.55 0.852404
0.005 249.086 0.595674
0.006 277.372 0.647191
0.007 302.522 0.606492
0.008 324.963 0.677976
0.009 345.082 0.728536
0.01 363.204 0.748621
0.02 434.107 1.00797
0.03 485.883 0.990761
0.04 505.32 0.861908
0.05 510.832 0.780823
0.06 498.072 0.721107
0.07 490.272 0.703722
0.08 481.311 0.64
0.09 471.826 0.550349
0.1 461.027 0.539105
0.2 367.249 0.359625
0.3 304.821 0.272139
0.4 261.734 0.19619
0.5 230.025 0.177404
0.6 205.774 0.128565
0.7 186.531 0.154951
0.8 170.876 0.119349
0.9 157.869 0.103106
1 146.911 0.0727832
2 89.0521 0.0528034
3 65.3934 0.043491
4 52.5607 0.033711
5 44.2678 0.0206861
6 38.4809 0.0206396
7 34.1803 0.018297
8 30.855 0.0187453
9 28.1809 0.0133385
10 26.0074 0.0121751
20 11.6591 0.00918147
30 7.69329 0.00715292
40 6.31078 0.0057189
50 5.60899 0.00565067
60 5.14397 0.00563784
70 4.82657 0.00579133
80 4.61454 0.00604112
90 4.44266 0.00612939
100 4.32754 0.00680342
200 3.90249 0.00905164
300 3.87531 0.0118682
400 3.94658 0.015644
500 3.97795 0.0211616
600 3.99254 0.018468
700 4.03399 0.0206979
800 4.1331 0.02668
900 4.15504 0.0271409
1000 4.18263 0.0315601
2000 4.4491 0.0550419
3000 4.76394 0.0767486
4000 4.77598 0.139964
5000 5.19919 0.172746
6000 4.83729 0.0978809
7000 5.07858 0.221697
8000 5.02512 0.145364
9000 5.37779 0.323867
10000 5.19455 0.218104
