# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 358.282 1.9644
0.003 309.299 1.21366
0.004 257.561 0.859194
0.005 249.086 0.607688
0.006 277.372 0.654678
0.007 302.522 0.623544
0.008 324.963 0.690873
0.009 345.082 0.73534
0.01 363.204 0.759574
0.02 434.101 1.00991
0.03 485.895 0.998129
0.04 505.311 0.867942
0.05 510.84 0.784212
0.06 498.069 0.724599
0.07 490.274 0.710642
0.08 481.314 0.650951
0.09 471.829 0.558491
0.1 461.025 0.543081
0.2 367.248 0.367117
0.3 304.821 0.272139
0.4 261.734 0.19619
0.5 230.025 0.186189
0.6 205.774 0.13183
0.7 186.531 0.157196
0.8 170.876 0.126512
0.9 157.869 0.105506
1 146.911 0.0727832
2 89.0523 0.0526684
3 45.554 0.0461258
4 33.1062 0.0356459
5 26.6898 0.0311329
6 22.8055 0.0257464
7 20.0067 0.0253446
8 17.9544 0.0254021
9 16.2264 0.0244183
10 14.9866 0.024761
20 9.14467 0.0261277
30 7.08688 0.0278351
40 6.08965 0.0294037
50 5.51592 0.0307022
60 5.03936 0.0310969
70 4.78303 0.0323263
80 4.61474 0.0364523
90 4.40726 0.0365789
100 4.33039 0.0396648
200 3.86539 0.0503323
300 3.77563 0.0502251
400 3.94872 0.0821039
500 3.9355 0.0807073
600 3.8807 0.106079
700 3.95535 0.122806
800 4.06077 0.167921
900 4.38134 0.179731
1000 3.95653 0.100406
2000 4.91323 0.348272
3000 4.58266 0.222089
4000 4.80115 0.491462
5000 5.229 0.544449
6000 4.42809 0.149322
7000 4.57015 0.210282
8000 4.42672 0.192741
9000 5.07462 0.629255
10000 6.90434 2.27233
