# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 512.608 58.0172
0.003 543.497 40.7836
0.004 620.345 38.9003
0.005 684.219 35.7668
0.006 738.302 33.1603
0.007 728.316 30.4865
0.008 784.668 29.9236
0.009 822.061 29.0855
0.01 855.143 28.7332
0.02 978.369 23.5019
0.03 957.3 18.9996
0.04 922.596 16.0628
0.05 881.475 14.4281
0.06 842.549 12.834
0.07 804.612 11.5802
0.08 771.197 10.6325
0.09 738.724 9.58556
0.1 711.25 8.96886
0.2 517.448 5.27305
0.3 411.999 3.75849
0.4 345.716 2.9133
0.5 299.684 2.36154
0.6 265.589 1.98614
0.7 239.155 1.70437
0.8 218.058 1.47711
0.9 200.772 1.34617
1 186.325 1.20987
2 112.043 0.606195
3 81.9825 0.395432
4 65.5855 0.29138
5 55.2894 0.225557
6 47.975 0.189161
7 42.5574 0.162855
8 38.3936 0.149993
9 35.0434 0.119635
10 32.3119 0.109454
20 17.1663 0.0533779
30 9.62478 0.0325369
40 7.9042 0.0407372
50 7.1452 0.0563376
60 6.9309 0.0764981
70 7.13192 0.104405
80 7.31285 0.127695
90 7.50495 0.148863
100 8.10877 0.178858
200 10.8332 0.363367
300 11.6995 0.478432
400 12.6829 0.587098
500 13.7198 0.694295
600 17.6065 0.897758
700 22.2904 1.1226
800 22.4138 1.20403
900 25.686 1.38336
1000 27.4775 1.51978
2000 50.0937 3.00516
3000 65.1554 4.2423
4000 82.2171 5.54095
5000 100.586 6.88633
6000 123.114 8.38138
7000 130.241 9.32512
8000 169.655 11.4164
9000 179.667 12.4774
10000 187.344 13.4486
