# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 511.637 60.7648
0.003 543.497 43.1165
0.004 620.345 40.8932
0.005 684.219 37.4443
0.006 738.302 34.235
0.007 728.929 31.6759
0.008 783.357 30.7533
0.009 820.893 29.9614
0.01 854.5 29.5636
0.02 977.841 24.1102
0.03 957.173 19.5131
0.04 923.123 16.4428
0.05 881.577 14.6948
0.06 842.575 13.1509
0.07 804.666 11.8196
0.08 771.187 10.8189
0.09 738.724 9.78024
0.1 711.22 9.15346
0.2 517.448 5.37774
0.3 411.994 3.81921
0.4 293.786 2.51581
0.5 216.329 1.74224
0.6 179.456 1.38014
0.7 155.008 1.13908
0.8 137.513 0.958196
0.9 124.396 0.863516
1 113.675 0.768917
2 64.8826 0.381316
3 45.9932 0.259412
4 37.4815 0.214326
5 30.9304 0.179097
6 27.1259 0.169848
7 23.9549 0.158629
8 21.8605 0.160574
9 19.6035 0.139939
10 18.411 0.151039
20 11.2938 0.164454
30 11.6296 3.10035
40 7.33306 0.192447
50 11.4955 5.13731
60 11.7636 6.13993
70 12.5863 7.14943
80 5.0564 0.14861
90 14.0328 9.164
100 4.70252 0.198151
200 3.95687 0.334041
300 34.828 30.2492
400 3.69121 0.268383
500 3.6901 0.182175
600 3.48591 0.149057
700 3.63263 0.177548
800 3.6841 0.249109
900 3.72559 0.284874
1000 5.00455 1.24004
2000 6.08414 2.18298
3000 4.02662 0.216218
4000 3.81833 0.355226
5000 504.405 500.361
6000 4.11402 0.352078
7000 5.57181 1.61237
8000 5.04445 1.27696
9000 11.7242 7.06727
10000 3.95901 0.230624
