# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 295.674 36.0051
0.003 276.494 21.6157
0.004 253.992 16.2571
0.005 222.999 11.7784
0.006 234.17 10.5176
0.007 257.143 10.6683
0.008 278.034 10.5188
0.009 297.166 10.4333
0.01 314.74 10.5012
0.02 385.237 9.32923
0.03 452.159 9.03284
0.04 486.8 8.51933
0.05 499.471 8.20863
0.06 498.367 7.6151
0.07 500.343 7.22038
0.08 496.479 6.86076
0.09 492.236 6.39953
0.1 484.678 6.12259
0.2 408.348 4.16475
0.3 347.37 3.16995
0.4 302.861 2.55271
0.5 269.257 2.12207
0.6 243.004 1.81741
0.7 221.714 1.58024
0.8 204.213 1.38339
0.9 189.571 1.27132
1 177.016 1.14946
2 109.437 0.592722
3 80.8313 0.390369
4 64.998 0.289631
5 54.8875 0.224441
6 47.7494 0.189365
7 42.4238 0.163496
8 38.2988 0.150374
9 35.0316 0.1212
10 32.293 0.110698
20 17.2506 0.0550098
30 9.79506 0.0383645
40 8.1314 0.0494395
50 7.46768 0.0676696
60 7.21614 0.0863375
70 7.4148 0.112603
80 7.77897 0.140721
90 8.02883 0.162909
100 8.24832 0.182843
200 10.2976 0.348958
300 12.1733 0.492691
400 12.7087 0.588319
500 15.1762 0.744452
600 17.6603 0.899835
700 22.498 1.12913
800 22.5686 1.20928
900 25.678 1.38339
1000 27.47 1.51981
2000 51.492 3.04991
3000 64.2353 4.21089
4000 81.4068 5.51302
5000 102.604 6.95753
6000 123.103 8.38134
7000 130.247 9.32613
8000 168.808 11.387
9000 179.666 12.4778
10000 183.296 13.3012
