# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 299.308 38.4296
0.003 277.524 22.9615
0.004 253.665 17.0704
0.005 223.621 12.362
0.006 234.17 10.8585
0.007 257.143 11.0766
0.008 278.034 10.8281
0.009 297.166 10.7627
0.01 314.74 10.8129
0.02 385.505 9.58153
0.03 452.432 9.28267
0.04 486.961 8.7181
0.05 499.349 8.35699
0.06 498.469 7.80392
0.07 500.309 7.36833
0.08 496.525 6.98151
0.09 492.225 6.52909
0.1 484.763 6.24971
0.2 408.369 4.24758
0.3 347.378 3.22126
0.4 257.207 2.20491
0.5 201.991 1.62679
0.6 171.172 1.31087
0.7 149.772 1.1052
0.8 133.588 0.937772
0.9 121.509 0.838155
1 111.496 0.745439
2 64.2608 0.376499
3 46.0753 0.420241
4 37.7834 0.486495
5 30.8247 0.178615
6 27.0532 0.169509
7 23.8933 0.158368
8 21.8092 0.16029
9 19.5568 0.139726
10 18.3722 0.150863
20 11.277 0.164396
30 8.5613 0.161067
40 7.35022 0.200834
50 11.3887 5.13668
60 5.64382 0.146732
70 19.8103 10.1103
80 13.1647 8.16351
90 4.79416 0.155697
100 14.6378 10.1666
200 23.873 20.2263
300 34.1768 30.2469
400 3.65376 0.184429
500 3.81201 0.225482
600 3.47881 0.14902
700 3.62543 0.177513
800 3.67644 0.248972
900 3.7161 0.284849
1000 4.99711 1.24004
2000 6.07397 2.18298
3000 4.01898 0.216182
4000 3.81031 0.355209
5000 504.397 500.36
6000 4.10522 0.35206
7000 5.56383 1.61237
8000 5.03709 1.27695
9000 11.7165 7.06727
10000 3.9514 0.230588
