# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 374.536 1.98508
0.003 362.048 1.25276
0.004 337.669 0.803995
0.005 296.498 0.497832
0.006 299.485 6.58834e-07
0.007 323.493 3.61246e-07
0.008 345.836 5.26092e-07
0.009 366.819 5.80569e-07
0.01 386.674 8.65537e-07
0.02 900.043 2.99923
0.03 1088.98 2.55358
0.04 1190.24 3.67747
0.05 1256.32 2.25986
0.06 1281.44 2.0918
0.07 1276.47 1.44318
0.08 1257.62 1.75755
0.09 1232.18 2.11767
0.1 1198.3 1.37493
0.2 915.206 1.39218
0.3 765.194 1.34214
0.4 671.518 1.5967
0.5 600.51 1.52215
0.6 547.109 1.45465
0.7 506.792 1.42782
0.8 470.963 1.38701
0.9 435.386 1.33988
1 409.351 1.35914
2 263.209 1.29909
3 199.605 1.27229
4 160.651 1.21158
5 134.359 1.1848
6 118.809 1.21989
7 105.043 1.1562
8 97.6024 1.2801
9 87.3319 1.23863
10 80.8281 1.19701
20 46.7311 1.21012
30 34.251 1.46833
40 25.1418 0.761929
50 23.3709 1.3008
60 17.688 0.627397
70 16.867 0.832862
80 15.7884 0.934297
90 14.0893 0.957787
100 15.1448 1.70099
200 7.75598 0.568992
300 6.17623 0.764727
400 5.82429 0.658734
500 4.95046 0.492571
600 5.08091 0.550058
700 4.24657 0.414984
800 3.73894 0.228418
900 3.70285 0.28681
1000 3.1989 0.210118
2000 2.91517 0.227281
3000 3.57145 1.01727
4000 3.07767 0.470206
5000 3.83745 0.498439
6000 3.08536 0.251152
7000 2.79618 0.171064
8000 3.07485 0.258998
9000 3.38566 0.310462
10000 6.30219 2.56644
