# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 351.145 1.94673
0.003 345.254 1.35134
0.004 328.334 0.901538
0.005 290.58 0.564324
0.006 299.488 6.04739e-07
0.007 323.497 4.27244e-07
0.008 345.862 6.0025e-07
0.009 366.881 5.30352e-07
0.01 386.738 9.62016e-07
0.02 889.456 2.93643
0.03 1078.65 2.67541
0.04 1192.07 2.89414
0.05 1254.28 2.04271
0.06 1274.04 1.6905
0.07 1273.65 1.67202
0.08 1258.09 1.36709
0.09 1229 1.33693
0.1 1197.98 1.96033
0.2 912.555 1.35839
0.3 764.507 1.35219
0.4 666.117 1.577
0.5 595.763 1.50455
0.6 547.581 1.45465
0.7 505.318 1.42519
0.8 470.715 1.39192
0.9 436.419 1.34232
1 407.297 1.33629
2 262.146 1.27917
3 196.734 1.21224
4 163.978 2.44466
5 135.739 1.191
6 119.757 1.24043
7 105.376 1.17544
8 94.4091 1.17159
9 87.2211 1.17526
10 77.9256 0.99173
20 46.8201 1.34872
30 33.3757 0.925362
40 29.8586 1.82793
50 22.1465 0.913522
60 18.8097 0.955502
70 19.0634 1.78505
80 20.495 2.64544
90 14.2723 1.26645
100 12.2583 0.677934
200 6.56017 0.241261
300 7.42348 1.13645
400 6.35671 1.6834
500 5.04761 0.935899
600 6.69424 3.06487
700 4.19097 0.338728
800 4.29845 0.536924
900 3.69498 0.326827
1000 3.88404 0.424544
2000 3.00782 0.20067
3000 3.50121 0.966858
4000 2.89867 0.230621
5000 3.65825 0.824024
6000 3.22066 0.288294
7000 2.6134 0.152601
8000 3.99518 0.849263
9000 2.9534 0.254745
10000 2.73353 0.184718
