# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 351.145 1.94673
0.003 345.254 1.35134
0.004 328.334 0.901538
0.005 290.58 0.564324
0.006 299.488 6.10008e-07
0.007 323.497 4.27518e-07
0.008 345.862 6.04275e-07
0.009 366.881 5.24357e-07
0.01 386.738 9.60754e-07
0.02 495.143 0.80555
0.03 608.929 0.844379
0.04 689.961 0.857687
0.05 746.703 0.827375
0.06 796.761 0.814206
0.07 840.718 0.79143
0.08 875.169 0.767665
0.09 903.028 0.741013
0.1 923.495 0.708393
0.2 962.4 0.462743
0.3 908.619 0.309327
0.4 846.802 0.227898
0.5 791.603 0.172146
0.6 743.375 0.13547
0.7 701.324 0.109913
0.8 664.193 0.0924983
0.9 631.235 0.0762293
1 601.548 0.0650034
2 414.135 0.0214667
3 322.483 0.0116058
4 196.595 0.0608761
5 153.83 0.056313
6 129.242 0.0982667
7 112.95 0.165526
8 100.784 0.178074
9 91.0617 0.194503
10 83.2354 0.171037
20 47.4097 0.279669
30 37.1402 0.93885
40 28.4553 0.689173
50 25.094 0.99661
60 20.5578 0.599469
70 19.1661 0.988292
80 16.8747 0.799488
90 15.5503 0.899474
100 22.539 2.9968
200 8.37615 0.0429436
300 21.6398 6.70767
400 17.7411 6.92732
500 20.2011 8.6592
600 28.7591 11.9979
700 18.6215 9.89903
800 20.3821 11.3139
900 4.35598 0.066813
1000 24.1491 14.1406
2000 23.8411 19.9996
3000 33.9427 30.0002
4000 43.9007 39.9986
5000 154.006 86.5998
6000 124.092 84.8558
7000 424.632 171.493
8000 4.24195 0.288427
9000 93.8864 90.0033
10000 303.942 173.187
