# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 351.145 1.94673
0.003 345.254 1.35134
0.004 328.334 0.901538
0.005 290.58 0.564324
0.006 299.488 6.09014e-07
0.007 323.497 4.18915e-07
0.008 345.862 6.05413e-07
0.009 366.881 5.22039e-07
0.01 386.738 9.60754e-07
0.02 495.143 0.80555
0.03 608.929 0.844379
0.04 689.961 0.857687
0.05 746.703 0.827375
0.06 796.761 0.814206
0.07 840.718 0.79143
0.08 875.169 0.767665
0.09 903.028 0.741013
0.1 923.495 0.708393
0.2 962.4 0.462743
0.3 908.619 0.309327
0.4 846.802 0.227898
0.5 791.603 0.172146
0.6 743.375 0.13547
0.7 701.324 0.109913
0.8 664.193 0.0924983
0.9 631.235 0.0762293
1 601.548 0.0650034
2 414.135 0.0214667
3 322.483 0.0116058
4 267.342 0.0203229
5 229.624 0.0297051
6 202.284 0.0362744
7 181.347 0.0460565
8 164.839 0.0583109
9 151.293 0.0551627
10 140.046 0.0502278
20 52.8031 0.111631
30 37.0916 0.184012
40 29.4564 0.223898
50 25.0654 0.290604
60 21.3344 0.259697
70 19.0026 0.273204
80 18.2217 0.407411
90 16.6911 0.433919
100 16.2434 0.503422
200 12.2383 0.868371
300 13.8698 1.46684
400 10.9567 1.44023
500 16.2235 2.34299
600 19.8321 2.99788
700 18.5985 3.12827
800 24.4435 3.99774
900 24.1394 4.2193
1000 30.2032 5.09733
2000 41.9155 8.71607
3000 75.975 14.695
4000 88.0055 18.3299
5000 184.47 29.9973
6000 112.25 25.4576
7000 221.456 38.9826
8000 172.354 36.6498
9000 202.62 42.2031
10000 194.505 43.5955
