# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 374.536 1.98508
0.003 362.048 1.25276
0.004 337.669 0.803995
0.005 296.498 0.497832
0.006 299.485 6.69632e-07
0.007 323.493 5.07232e-07
0.008 345.836 4.76005e-07
0.009 366.819 6.02965e-07
0.01 386.674 8.72147e-07
0.02 501.669 0.759388
0.03 611.489 0.813093
0.04 694.306 0.825986
0.05 749.888 0.789077
0.06 803.211 0.774868
0.07 844.216 0.75756
0.08 877.807 0.755935
0.09 920.568 0.645541
0.1 972.606 0.236886
0.2 1025.49 0.538518
0.3 811.276 0.516058
0.4 696.288 0.433278
0.5 617.45 0.430013
0.6 561.271 0.429397
0.7 517.066 0.44305
0.8 477.338 0.433311
0.9 442.534 0.424113
1 413.427 0.424878
2 261.98 0.433259
3 197.268 0.41669
4 160.843 0.403964
5 135.49 0.399052
6 119.084 0.399635
7 105.257 0.389169
8 96.0415 0.395359
9 87.1082 0.383822
10 80.8047 0.395553
20 46.5081 0.392258
30 34.1941 0.406686
40 27.5018 0.448574
50 23.0078 0.415686
60 20.0474 0.416951
70 18.203 0.451374
80 15.8851 0.409196
90 14.9064 0.427179
100 13.2589 0.355778
200 9.20555 0.684018
300 6.673 0.495574
400 5.47207 0.447774
500 5.50288 0.736828
600 4.81942 0.465081
700 4.10179 0.295033
800 3.95665 0.194034
900 4.08607 0.313337
1000 3.78462 0.275695
2000 4.95182 1.03979
3000 3.29759 0.194919
4000 4.3156 1.0917
5000 3.2075 0.221647
6000 3.65685 0.332467
7000 5.32424 2.02315
8000 3.45408 0.26752
9000 3.48273 0.298723
10000 3.21039 0.193819
