# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 173.017 1.04253
0.003 187.373 1.01163
0.004 198.887 0.96177
0.005 208.556 0.932486
0.006 218.423 0.903539
0.007 220.727 0.815449
0.008 224.405 0.779035
0.009 231.296 0.747828
0.01 239.815 0.730287
0.02 317.489 0.688298
0.03 387.143 8.74794e-07
0.04 446.406 9.92181e-07
0.05 497.288 1.3522e-06
0.06 542.098 1.07315e-06
0.07 582.31 7.98011e-07
0.08 618.802 1.46864e-06
0.09 652.066 1.46834e-06
0.1 682.573 1.5178e-06
0.2 885.576 1.88868e-06
0.3 976.092 8.01355e-07
0.4 1008.1 1.95332e-06
0.5 1010.11 1.03677e-06
0.6 997.34 8.51017e-07
0.7 977.642 2.01119e-06
0.8 955.01 1.83348e-06
0.9 931.522 1.64539e-06
1 908.14 1.22893e-07
2 722.539 5.16023e-07
3 605.531 0.0726217
4 522.46 0.0712601
5 461.561 0.0211181
6 415.108 0.0548635
7 378.189 0.0677654
8 347.894 0.0682512
9 323.047 0.09403
10 301.555 0.0584917
20 164.348 0.0781399
30 92.7785 0.169712
40 71.4536 0.281955
50 59.8648 0.391827
60 51.5119 0.435215
70 47.098 0.562731
80 42.6992 0.600527
90 40.2025 0.692638
100 37.5845 0.750872
200 29.3791 1.4698
300 25.267 1.86493
400 24.2616 2.29109
500 30.4928 3.23279
600 29.4491 3.54443
700 35.0278 4.36711
800 35.9566 4.79624
900 35.4686 5.08826
1000 42.2973 5.99615
2000 100.876 13.8537
3000 130.44 19.4393
4000 204.469 28.2726
5000 189.28 30.4119
6000 322.718 43.6691
7000 361.795 49.9902
8000 348.689 52.4575
9000 437.159 62.3851
10000 414.701 64.0149
