# E(MeV) DEDX(MeV/cm) δDEDX(MeV/cm)
0.0001 NaN NaN
0.0002 NaN NaN
0.0003 NaN NaN
0.0004 NaN NaN
0.0005 NaN NaN
0.0006 NaN NaN
0.0007 NaN NaN
0.0008 NaN NaN
0.0009 NaN NaN
0.001 NaN NaN
0.002 173.017 1.04253
0.003 187.373 1.01163
0.004 198.887 0.96177
0.005 208.556 0.932486
0.006 218.423 0.903539
0.007 220.727 0.815449
0.008 224.405 0.779035
0.009 231.296 0.747828
0.01 239.815 0.730287
0.02 317.489 0.688298
0.03 387.143 7.98104e-07
0.04 446.406 9.46499e-07
0.05 497.288 1.3113e-06
0.06 542.098 1.02784e-06
0.07 582.31 8.12549e-07
0.08 618.802 1.39459e-06
0.09 652.066 1.48369e-06
0.1 682.573 1.3565e-06
0.2 885.576 1.97767e-06
0.3 976.092 7.15731e-07
0.4 1008.1 1.97469e-06
0.5 1010.11 1.04233e-06
0.6 997.34 8.32897e-07
0.7 977.642 2.04183e-06
0.8 955.01 1.83034e-06
0.9 931.522 1.69327e-06
1 908.14 1.22893e-07
2 722.539 5.21854e-07
3 605.531 0.0726217
4 522.46 0.0712601
5 461.561 0.0211181
6 415.108 0.0548635
7 378.189 0.0677654
8 347.894 0.0682512
9 323.047 0.09403
10 260.379 0.0707845
20 118.103 0.200484
30 84.4048 0.368119
40 68.6489 0.647175
50 57.6043 0.757143
60 49.6929 0.731225
70 47.0004 1.16954
80 42.6769 1.17618
90 39.3655 1.25855
100 39.3296 1.61799
200 30.3685 2.82092
300 21.5714 2.82487
400 24.4326 4.21305
500 24.4743 4.99689
600 38.4333 7.74201
700 38.0342 8.40971
800 39.1211 9.23565
900 36.655 9.48416
1000 46.2721 11.5471
2000 98.0871 24.9369
3000 114.27 33.1666
4000 164.11 46.1778
5000 187.407 55.2838
6000 284.015 74.8154
7000 377.538 93.3372
8000 297.474 88.452
9000 664.568 140.697
10000 270.74 94.2875
